city,,A,B,C,D,E,K,L,M,N,O,P,T,R,F,G,J,W,total
Івано-Франківськ,,3,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,15
Київ,,1,1,1,1,0,"0,7",1,1,0,0,1,0,1,1,1,1,1,"12,7"
Вінниця,,2,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,12
Львів,,0,1,1,0,0,"0,5",1,"0,25",0,0,1,1,1,1,1,1,1,"10,75"
Біла Церква,,3,1,1,1,0,"0,7",1,0,0,0,0,0,0,1,1,1,0,"10,7"
Одеса,,0,1,1,1,0,1,1,"0,5",0,0,1,0,1,1,1,1,0,"10,5"
Дружківка,,0,1,1,1,1,"0,5",1,1,0,0,0,1,1,0,1,1,0,"10,5"
Бердянськ,,2,1,1,1,1,"0,2",1,1,0,0,0,0,1,0,1,0,0,"10,2"
Серєродонецьк,,0,1,1,1,0,"0,5",1,"0,25",1,0,0,1,1,0,1,1,0,"9,75"
Суми,,0,1,1,1,0,"0,5",1,"0,25",1,0,1,0,1,1,0,1,0,"9,75"
Володимир Волинський,,2,1,1,1,0,"0,7",1,1,0,0,0,1,0,0,0,1,0,"9,7"
Рівне,,0,1,1,1,0,1,1,"0,25",0,0,1,0,1,0,1,1,0,"9,25"
Ізмаїл,,0,1,1,1,0,"0,2",1,1,0,0,0,1,1,0,1,1,0,"9,2"
Запоріжжя,,1,"0,5","0,5",1,0,1,1,1,0,0,0,0,1,0,1,1,0,9
Кам'янське,,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,9
Дрогобич,,0,1,1,0,0,"0,7",1,1,0,0,1,1,1,0,0,0,1,"8,7"
Коростень,,2,0,0,1,0,"0,7",1,0,0,0,0,1,1,0,1,1,0,"8,7"
Тернопіль,,0,1,1,0,1,"0,7",1,0,1,0,0,0,0,1,1,1,0,"8,7"
Краматорськ,,2,1,0,1,1,"0,7",1,0,0,0,0,0,1,0,1,0,0,"8,7"
Коломия,,1,1,1,1,0,"0,5",1,0,0,0,1,0,0,0,1,1,0,"8,5"
Житомир,,3,"0,5","0,5",1,1,"0,2",0,0,0,1,0,0,0,0,0,1,0,"8,2"
Калуш,,3,0,0,1,0,"0,2",1,0,0,0,0,1,1,0,0,1,0,"8,2"
Луцьк,,0,1,1,1,1,"0,2",1,0,0,0,1,0,1,0,0,1,0,"8,2"
Нікополь,,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,8
Ужгород,,0,1,1,0,1,"0,7",1,"0,25",1,0,0,0,0,1,0,1,0,"7,95"
Бахмут,,1,0,0,1,0,"0,7",1,0,1,0,0,1,1,0,0,1,0,"7,7"
Дніпро,,2,1,1,1,0,"0,7",1,0,0,0,0,1,0,0,0,0,0,"7,7"
Енергодар,,1,0,0,1,0,"0,5",1,0,0,0,0,1,1,1,1,0,0,"7,5"
Кропивницький,,0,1,1,1,1,"0,5",1,0,0,0,0,0,0,1,0,1,0,"7,5"
Чернігів,,0,0,0,0,0,1,1,"0,5",1,0,0,1,0,1,1,1,0,"7,5"
Ромни,,0,1,1,1,0,"0,5",1,0,0,0,0,1,1,0,0,1,0,"7,5"
Бориспіль,,0,"0,5",1,1,1,"0,7",1,0,0,0,0,1,0,1,0,0,0,"7,2"
Миргород,,0,1,1,1,0,"0,2",1,0,0,0,0,0,1,0,1,1,0,"7,2"
Маріуполь,,0,1,1,0,0,"0,5",1,"0,25",0,0,1,1,1,0,0,0,0,"6,75"
Первомайськ,,0,1,1,1,0,"0,5",1,"0,25",0,0,0,1,0,0,0,1,0,"6,75"
Кам'янець-Подільський,,1,1,1,1,0,"0,7",1,0,0,0,0,0,0,0,0,1,0,"6,7"
Ковель,,1,0,0,1,0,"0,5",1,0,1,0,0,1,0,0,0,1,0,"6,5"
Олександрія,,0,0,0,1,0,1,1,"0,5",1,0,0,1,0,0,0,1,0,"6,5"
Ніжин,,0,1,1,0,0,"0,5",1,0,1,0,0,1,1,0,0,0,0,"6,5"
Лубни,,0,1,1,1,0,"0,5",1,0,0,0,0,1,0,0,1,0,0,"6,5"
Охтирка,,2,1,1,0,0,"0,5",1,0,0,0,0,0,0,0,0,1,0,"6,5"
Хмельницький,,0,0,0,0,0,"0,5",1,"0,75",0,0,0,1,1,0,0,1,1,"6,25"
Бровари,,1,1,1,1,0,"0,2",0,1,1,0,0,0,0,0,0,0,0,"6,2"
Жмеринка,,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,6
Миколаїв,,0,0.5,0.5,1,0,1,1,0,0,0,0,1,0,1,0,1,0,6
Лисичанськ,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6
Слов'янськ,,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,6
Білгород Дністровський,,1,"0,5","0,5",1,0,"0,2",1,"0,5",0,0,0,0,0,0,0,1,0,"5,7"
Дубно,,0,0,1,0,0,"0,7",1,0,0,0,0,1,0,0,1,1,0,"5,7"
Мелітополь,,0,1,1,0,0,"0,7",1,0,0,0,0,0,1,0,0,1,0,"5,7"
Шепетівка,,2,0,0,1,0,"0,5",1,0,1,0,0,0,0,0,0,0,0,"5,5"
Чернівці,,0,0,0,1,0,"0,7",1,"0,75",0,0,1,0,0,0,0,1,0,"5,45"
Херсон,,1,1,1,0,0,"0,2",1,0,0,0,0,0,0,0,0,1,0,"5,2"
Лиман,,0,1,1,1,0,"0,2",1,0,0,0,0,0,0,0,0,1,0,"5,2"
Лозова,,0,1,1,1,0,"0,2",1,0,1,0,0,0,0,0,0,0,0,"5,2"
Каховка,,0,"0,5","0,5",1,0,0,1,0,1,0,0,0,0,0,0,1,0,5
Мукачево,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5
Кременчук,,0,0,0,1,0,"0,2",0,"0,75",1,0,0,0,0,0,1,1,0,"4,95"
Южноукраїнськ,,0,1,1,0,0,"0,5",1,"0,25",1,0,0,0,0,0,0,0,0,"4,75"
Покров,,0,0,0,1,0,"0,7",1,0,1,0,1,0,0,0,0,0,0,"4,7"
Рубіжне,,0,0,0,1,0,"0,5",1,0,0,0,0,1,1,0,0,0,0,"4,5"
Фастів,,0,1,1,1,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"4,5"
Сміла,,0,1,1,1,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"4,5"
Світловодськ,,0,1,1,0,0,"0,5",0,0,1,0,0,0,0,0,0,1,0,"4,5"
Нетішин,,0,1,1,0,0,"0,2",1,0,1,0,0,0,0,0,0,0,0,"4,2"
Подільськ,,0,1,1,1,0,"0,2",0,0,1,0,0,0,0,0,0,0,0,"4,2"
Горішні Плавні,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,4
Ірпінь,,0,0.5,1,1,0,0.5,0,0,0,0,1,0,0,0,0,1,0,4
Червоноград,,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4
Чорноморськ,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Харків,,0,0,0,0,0,"0,5",1,"0,25",0,0,0,0,0,1,0,1,0,"3,75"
Бердичів,,1,0,0,1,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"3,5"
Славута,,0,1,1,0,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"3,5"
Старокостянтинів,,0,0,1,1,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"3,5"
Боярка,,0,"0,5",0.5,1,0,"0,5",1,0,0,0,0,0,0,0,"0,5",0,0,"3,5"
Костянтинівка,,0,"0,5","0,5",1,0,"0,2",0,0,0,0,0,0,0,0,0,1,0,"3,2"
Жовті Води,,0,0,0,1,0,"0,2",0,0,0,0,0,0,0,0,1,1,0,"3,2"
Ізюм,,0,1,1,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,3
Мирноград,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3
Самбір,,0,0,0,0,0,"0,2",1,"0,25",0,0,0,0,0,0,0,1,0,"2,45"
Новоград-Волинський,,0,0,0,0,0,"0,2",1,0,1,0,0,0,0,0,0,0,0,"2,2"
Конотоп,,0,0,0,1,0,"0,2",0,0,0,0,0,0,1,0,0,0,0,"2,2"
Павлоград,,0,0,0,0,0,"0,2",1,0,0,0,0,0,0,0,0,1,0,"2,2"
Шостка,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Васильків,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Вараш,,0,0,0,0,0,"0,5",1,0,0,0,0,0,0,0,0,0,0,"1,5"
Марганець,,0,0,0,1,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"1,2"
Полтава,,0,0,0,1,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"1,2"
Куп'янськ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Нова Каховка,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Нововолинськ,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Стрий,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Вишневе,,0,"0,5",0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,"0,75"
Кривий Ріг,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Черкаси,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прилуки,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Умань,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Покровськ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дунаївці,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Новомосковськ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0