"social_network","usage","value","max","share"
"Суми","Діючі регуляторні акти на сайті ОМС",1,1,100
"Володимир Волинський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Рівне","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ізмаїл","Діючі регуляторні акти на сайті ОМС",1,1,100
"Запоріжжя","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кам'янське","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дрогобич","Діючі регуляторні акти на сайті ОМС",0,1,0
"Коростень","Діючі регуляторні акти на сайті ОМС",1,1,100
"Тернопіль","Діючі регуляторні акти на сайті ОМС",0,1,0
"Краматорськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Коломия","Діючі регуляторні акти на сайті ОМС",1,1,100
"Житомир","Діючі регуляторні акти на сайті ОМС",1,1,100
"Калуш","Діючі регуляторні акти на сайті ОМС",1,1,100
"Луцьк","Діючі регуляторні акти на сайті ОМС",1,1,100
"Нікополь","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ужгород","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бахмут","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дніпро","Діючі регуляторні акти на сайті ОМС",1,1,100
"Енергодар","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кропивницький","Діючі регуляторні акти на сайті ОМС",1,1,100
"Чернігів","Діючі регуляторні акти на сайті ОМС",0,1,0
"Ромни","Діючі регуляторні акти на сайті ОМС",1,1,100
"Бориспіль","Діючі регуляторні акти на сайті ОМС",1,1,100
"Миргород","Діючі регуляторні акти на сайті ОМС",1,1,100
"Маріуполь","Діючі регуляторні акти на сайті ОМС",0,1,0
"Первомайськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кам'янець-Подільський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ковель","Діючі регуляторні акти на сайті ОМС",1,1,100
"Олександрія","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ніжин","Діючі регуляторні акти на сайті ОМС",0,1,0
"Лубни","Діючі регуляторні акти на сайті ОМС",1,1,100
"Охтирка","Діючі регуляторні акти на сайті ОМС",0,1,0
"Хмельницький","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бровари","Діючі регуляторні акти на сайті ОМС",1,1,100
"Жмеринка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Миколаїв","Діючі регуляторні акти на сайті ОМС",1,1,100
"Лисичанськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Слов'янськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Білгород Дністровський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дубно","Діючі регуляторні акти на сайті ОМС",0,1,0
"Мелітополь","Діючі регуляторні акти на сайті ОМС",0,1,0
"Шепетівка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Чернівці","Діючі регуляторні акти на сайті ОМС",1,1,100
"Херсон","Діючі регуляторні акти на сайті ОМС",0,1,0
"Лиман","Діючі регуляторні акти на сайті ОМС",1,1,100
"Лозова","Діючі регуляторні акти на сайті ОМС",1,1,100
"Каховка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Мукачево","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кременчук","Діючі регуляторні акти на сайті ОМС",1,1,100
"Южноукраїнськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Покров","Діючі регуляторні акти на сайті ОМС",1,1,100
"Рубіжне","Діючі регуляторні акти на сайті ОМС",1,1,100
"Фастів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Сміла","Діючі регуляторні акти на сайті ОМС",1,1,100
"Світловодськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Нетішин","Діючі регуляторні акти на сайті ОМС",0,1,0
"Подільськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Горішні Плавні","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ірпінь","Діючі регуляторні акти на сайті ОМС",1,1,100
"Червоноград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Чорноморськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Харків","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бердичів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Славута","Діючі регуляторні акти на сайті ОМС",0,1,0
"Старокостянтинів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Боярка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Костянтинівка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Жовті Води","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ізюм","Діючі регуляторні акти на сайті ОМС",0,1,0
"Мирноград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Самбір","Діючі регуляторні акти на сайті ОМС",0,1,0
"Новоград-Волинський","Діючі регуляторні акти на сайті ОМС",0,1,0
"Конотоп","Діючі регуляторні акти на сайті ОМС",1,1,100
"Павлоград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Шостка","Діючі регуляторні акти на сайті ОМС",0,1,0
"Васильків","Діючі регуляторні акти на сайті ОМС",1,1,100
"Вараш","Діючі регуляторні акти на сайті ОМС",0,1,0
"Марганець","Діючі регуляторні акти на сайті ОМС",1,1,100
"Полтава","Діючі регуляторні акти на сайті ОМС",1,1,100
"Куп'янськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Нова Каховка","Діючі регуляторні акти на сайті ОМС",0,1,0
"Нововолинськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Стрий","Діючі регуляторні акти на сайті ОМС",0,1,0
"Вишневе","Діючі регуляторні акти на сайті ОМС",0,1,0
"Кривий Ріг","Діючі регуляторні акти на сайті ОМС",0,1,0
"Черкаси","Діючі регуляторні акти на сайті ОМС",0,1,0
"Прилуки","Діючі регуляторні акти на сайті ОМС",0,1,0
"Умань","Діючі регуляторні акти на сайті ОМС",0,1,0
"Покровськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Дунаївці","Діючі регуляторні акти на сайті ОМС",0,1,0
"Новомосковськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Івано-Франківськ","Діючі регуляторні акти на data gov ua",0,1,0
"Київ","Діючі регуляторні акти на data gov ua",0,1,0
"Вінниця","Діючі регуляторні акти на data gov ua",1,1,100
"Львів","Діючі регуляторні акти на data gov ua",0,1,0
"Біла Церква","Діючі регуляторні акти на data gov ua",0,1,0
"Одеса","Діючі регуляторні акти на data gov ua",0,1,0
"Дружківка","Діючі регуляторні акти на data gov ua",1,1,100
"Бердянськ","Діючі регуляторні акти на data gov ua",1,1,100
"Серєродонецьк","Діючі регуляторні акти на data gov ua",0,1,0
"Суми","Діючі регуляторні акти на data gov ua",0,1,0
"Володимир Волинський","Діючі регуляторні акти на data gov ua",0,1,0
"Рівне","Діючі регуляторні акти на data gov ua",0,1,0
"Ізмаїл","Діючі регуляторні акти на data gov ua",0,1,0
"Запоріжжя","Діючі регуляторні акти на data gov ua",0,1,0
"Кам'янське","Діючі регуляторні акти на data gov ua",0,1,0
"Дрогобич","Діючі регуляторні акти на data gov ua",0,1,0
"Коростень","Діючі регуляторні акти на data gov ua",0,1,0
"Тернопіль","Діючі регуляторні акти на data gov ua",1,1,100
"Краматорськ","Діючі регуляторні акти на data gov ua",1,1,100
"Коломия","Діючі регуляторні акти на data gov ua",0,1,0
"Житомир","Діючі регуляторні акти на data gov ua",1,1,100
"Калуш","Діючі регуляторні акти на data gov ua",0,1,0
"Луцьк","Діючі регуляторні акти на data gov ua",1,1,100
"Нікополь","Діючі регуляторні акти на data gov ua",1,1,100
"Ужгород","Діючі регуляторні акти на data gov ua",1,1,100
"Бахмут","Діючі регуляторні акти на data gov ua",0,1,0
"Дніпро","Діючі регуляторні акти на data gov ua",0,1,0
"Енергодар","Діючі регуляторні акти на data gov ua",0,1,0
"Кропивницький","Діючі регуляторні акти на data gov ua",1,1,100
"Чернігів","Діючі регуляторні акти на data gov ua",0,1,0
"Ромни","Діючі регуляторні акти на data gov ua",0,1,0
"Бориспіль","Діючі регуляторні акти на data gov ua",1,1,100
"Миргород","Діючі регуляторні акти на data gov ua",0,1,0
"Маріуполь","Діючі регуляторні акти на data gov ua",0,1,0
"Первомайськ","Діючі регуляторні акти на data gov ua",0,1,0
"Кам'янець-Подільський","Діючі регуляторні акти на data gov ua",0,1,0
"Ковель","Діючі регуляторні акти на data gov ua",0,1,0
"Олександрія","Діючі регуляторні акти на data gov ua",0,1,0
"Ніжин","Діючі регуляторні акти на data gov ua",0,1,0
"Лубни","Діючі регуляторні акти на data gov ua",0,1,0
"Охтирка","Діючі регуляторні акти на data gov ua",0,1,0
"Хмельницький","Діючі регуляторні акти на data gov ua",0,1,0
"Бровари","Діючі регуляторні акти на data gov ua",0,1,0
"Жмеринка","Діючі регуляторні акти на data gov ua",0,1,0
"Миколаїв","Діючі регуляторні акти на data gov ua",0,1,0
"Лисичанськ","Діючі регуляторні акти на data gov ua",1,1,100
"Слов'янськ","Діючі регуляторні акти на data gov ua",1,1,100
"Білгород Дністровський","Діючі регуляторні акти на data gov ua",0,1,0
"Дубно","Діючі регуляторні акти на data gov ua",0,1,0
"Мелітополь","Діючі регуляторні акти на data gov ua",0,1,0
"Шепетівка","Діючі регуляторні акти на data gov ua",0,1,0
"Чернівці","Діючі регуляторні акти на data gov ua",0,1,0
"Херсон","Діючі регуляторні акти на data gov ua",0,1,0
"Лиман","Діючі регуляторні акти на data gov ua",0,1,0
"Лозова","Діючі регуляторні акти на data gov ua",0,1,0
"Каховка","Діючі регуляторні акти на data gov ua",0,1,0
"Мукачево","Діючі регуляторні акти на data gov ua",0,1,0
"Кременчук","Діючі регуляторні акти на data gov ua",0,1,0
"Южноукраїнськ","Діючі регуляторні акти на data gov ua",0,1,0
"Покров","Діючі регуляторні акти на data gov ua",0,1,0
"Рубіжне","Діючі регуляторні акти на data gov ua",0,1,0
"Фастів","Діючі регуляторні акти на data gov ua",0,1,0
"Сміла","Діючі регуляторні акти на data gov ua",0,1,0
"Світловодськ","Діючі регуляторні акти на data gov ua",0,1,0
"Нетішин","Діючі регуляторні акти на data gov ua",0,1,0
"Подільськ","Діючі регуляторні акти на data gov ua",0,1,0
"Горішні Плавні","Діючі регуляторні акти на data gov ua",0,1,0
"Ірпінь","Діючі регуляторні акти на data gov ua",0,1,0
"Червоноград","Діючі регуляторні акти на data gov ua",0,1,0
"Чорноморськ","Діючі регуляторні акти на data gov ua",0,1,0
"Харків","Діючі регуляторні акти на data gov ua",0,1,0
"Бердичів","Діючі регуляторні акти на data gov ua",0,1,0
"Славута","Діючі регуляторні акти на data gov ua",0,1,0
"Старокостянтинів","Діючі регуляторні акти на data gov ua",0,1,0
"Боярка","Діючі регуляторні акти на data gov ua",0,1,0
"Костянтинівка","Діючі регуляторні акти на data gov ua",0,1,0
"Жовті Води","Діючі регуляторні акти на data gov ua",0,1,0
"Ізюм","Діючі регуляторні акти на data gov ua",0,1,0
"Мирноград","Діючі регуляторні акти на data gov ua",0,1,0
"Самбір","Діючі регуляторні акти на data gov ua",0,1,0
"Новоград-Волинський","Діючі регуляторні акти на data gov ua",0,1,0
"Конотоп","Діючі регуляторні акти на data gov ua",0,1,0
"Павлоград","Діючі регуляторні акти на data gov ua",0,1,0
"Шостка","Діючі регуляторні акти на data gov ua",0,1,0
"Васильків","Діючі регуляторні акти на data gov ua",0,1,0
"Вараш","Діючі регуляторні акти на data gov ua",0,1,0
"Марганець","Діючі регуляторні акти на data gov ua",0,1,0
"Полтава","Діючі регуляторні акти на data gov ua",0,1,0
"Куп'янськ","Діючі регуляторні акти на data gov ua",0,1,0
"Нова Каховка","Діючі регуляторні акти на data gov ua",0,1,0
"Нововолинськ","Діючі регуляторні акти на data gov ua",0,1,0
"Стрий","Діючі регуляторні акти на data gov ua",0,1,0
"Вишневе","Діючі регуляторні акти на data gov ua",0,1,0
"Кривий Ріг","Діючі регуляторні акти на data gov ua",0,1,0
"Черкаси","Діючі регуляторні акти на data gov ua",0,1,0
"Прилуки","Діючі регуляторні акти на data gov ua",0,1,0
"Умань","Діючі регуляторні акти на data gov ua",0,1,0
"Покровськ","Діючі регуляторні акти на data gov ua",0,1,0
"Дунаївці","Діючі регуляторні акти на data gov ua",0,1,0
"Новомосковськ","Діючі регуляторні акти на data gov ua",0,1,0
"Івано-Франківськ","Інвестиційний паспорт громади",1,1,100
"Київ","Інвестиційний паспорт громади",0.7,1,70
"Вінниця","Інвестиційний паспорт громади",1,1,100
"Львів","Інвестиційний паспорт громади",0.5,1,50
"Біла Церква","Інвестиційний паспорт громади",0.7,1,70
"Одеса","Інвестиційний паспорт громади",1,1,100
"Дружківка","Інвестиційний паспорт громади",0.5,1,50
"Бердянськ","Інвестиційний паспорт громади",0.2,1,20
"Серєродонецьк","Інвестиційний паспорт громади",0.5,1,50
"Суми","Інвестиційний паспорт громади",0.5,1,50
"Володимир Волинський","Інвестиційний паспорт громади",0.7,1,70
"Рівне","Інвестиційний паспорт громади",1,1,100
"Ізмаїл","Інвестиційний паспорт громади",0.2,1,20
"Запоріжжя","Інвестиційний паспорт громади",1,1,100
"Кам'янське","Інвестиційний паспорт громади",0,1,0
"Дрогобич","Інвестиційний паспорт громади",0.7,1,70
"Коростень","Інвестиційний паспорт громади",0.7,1,70
"Тернопіль","Інвестиційний паспорт громади",0.7,1,70
"Краматорськ","Інвестиційний паспорт громади",0.7,1,70
"Коломия","Інвестиційний паспорт громади",0.5,1,50
"Житомир","Інвестиційний паспорт громади",0.2,1,20
"Калуш","Інвестиційний паспорт громади",0.2,1,20
"Луцьк","Інвестиційний паспорт громади",0.2,1,20
"Нікополь","Інвестиційний паспорт громади",0,1,0
"Ужгород","Інвестиційний паспорт громади",0.7,1,70
"Бахмут","Інвестиційний паспорт громади",0.7,1,70
"Дніпро","Інвестиційний паспорт громади",0.7,1,70
"Енергодар","Інвестиційний паспорт громади",0.5,1,50
"Кропивницький","Інвестиційний паспорт громади",0.5,1,50
"Чернігів","Інвестиційний паспорт громади",1,1,100
"Ромни","Інвестиційний паспорт громади",0.5,1,50
"Бориспіль","Інвестиційний паспорт громади",0.7,1,70
"Миргород","Інвестиційний паспорт громади",0.2,1,20
"Маріуполь","Інвестиційний паспорт громади",0.5,1,50
"Первомайськ","Інвестиційний паспорт громади",0.5,1,50
"Кам'янець-Подільський","Інвестиційний паспорт громади",0.7,1,70
"Ковель","Інвестиційний паспорт громади",0.5,1,50
"Олександрія","Інвестиційний паспорт громади",1,1,100
"Ніжин","Інвестиційний паспорт громади",0.5,1,50
"Лубни","Інвестиційний паспорт громади",0.5,1,50
"Охтирка","Інвестиційний паспорт громади",0.5,1,50
"Хмельницький","Інвестиційний паспорт громади",0.5,1,50
"Бровари","Інвестиційний паспорт громади",0.2,1,20
"Жмеринка","Інвестиційний паспорт громади",1,1,100
"Миколаїв","Інвестиційний паспорт громади",1,1,100
"Лисичанськ","Інвестиційний паспорт громади",0,1,0
"Слов'янськ","Інвестиційний паспорт громади",0,1,0
"Білгород Дністровський","Інвестиційний паспорт громади",0.2,1,20
"Дубно","Інвестиційний паспорт громади",0.7,1,70
"Мелітополь","Інвестиційний паспорт громади",0.7,1,70
"Шепетівка","Інвестиційний паспорт громади",0.5,1,50
"Чернівці","Інвестиційний паспорт громади",0.7,1,70
"Херсон","Інвестиційний паспорт громади",0.2,1,20
"Лиман","Інвестиційний паспорт громади",0.2,1,20
"Лозова","Інвестиційний паспорт громади",0.2,1,20
"Каховка","Інвестиційний паспорт громади",0,1,0
"Мукачево","Інвестиційний паспорт громади",0,1,0
"Кременчук","Інвестиційний паспорт громади",0.2,1,20
"Южноукраїнськ","Інвестиційний паспорт громади",0.5,1,50
"Покров","Інвестиційний паспорт громади",0.7,1,70
"Рубіжне","Інвестиційний паспорт громади",0.5,1,50
"Фастів","Інвестиційний паспорт громади",0.5,1,50
"Сміла","Інвестиційний паспорт громади",0.5,1,50
"Світловодськ","Інвестиційний паспорт громади",0.5,1,50
"Нетішин","Інвестиційний паспорт громади",0.2,1,20
"Подільськ","Інвестиційний паспорт громади",0.2,1,20
"Горішні Плавні","Інвестиційний паспорт громади",0,1,0
"Ірпінь","Інвестиційний паспорт громади",0.5,1,50
"Червоноград","Інвестиційний паспорт громади",1,1,100
"Чорноморськ","Інвестиційний паспорт громади",0,1,0
"Харків","Інвестиційний паспорт громади",0.5,1,50
"Бердичів","Інвестиційний паспорт громади",0.5,1,50
"Славута","Інвестиційний паспорт громади",0.5,1,50
"Старокостянтинів","Інвестиційний паспорт громади",0.5,1,50
"Боярка","Інвестиційний паспорт громади",0.5,1,50
"Костянтинівка","Інвестиційний паспорт громади",0.2,1,20
"Жовті Води","Інвестиційний паспорт громади",0.2,1,20
"Ізюм","Інвестиційний паспорт громади",0.2,1,20
"Мирноград","Інвестиційний паспорт громади",0,1,0
"Самбір","Інвестиційний паспорт громади",0.2,1,20
"Новоград-Волинський","Інвестиційний паспорт громади",0.2,1,20
"Конотоп","Інвестиційний паспорт громади",0.2,1,20
"Павлоград","Інвестиційний паспорт громади",0.2,1,20
"Шостка","Інвестиційний паспорт громади",0,1,0
"Васильків","Інвестиційний паспорт громади",0,1,0
"Вараш","Інвестиційний паспорт громади",0.5,1,50
"Марганець","Інвестиційний паспорт громади",0.2,1,20
"Полтава","Інвестиційний паспорт громади",0.2,1,20
"Куп'янськ","Інвестиційний паспорт громади",0,1,0
"Нова Каховка","Інвестиційний паспорт громади",0,1,0
"Нововолинськ","Інвестиційний паспорт громади",0,1,0
"Стрий","Інвестиційний паспорт громади",0,1,0
"Вишневе","Інвестиційний паспорт громади",0,1,0
"Кривий Ріг","Інвестиційний паспорт громади",0,1,0
"Черкаси","Інвестиційний паспорт громади",0,1,0
"Прилуки","Інвестиційний паспорт громади",0,1,0
"Умань","Інвестиційний паспорт громади",0,1,0
"Покровськ","Інвестиційний паспорт громади",0,1,0
"Дунаївці","Інвестиційний паспорт громади",0,1,0
"Новомосковськ","Інвестиційний паспорт громади",0,1,0
"Івано-Франківськ","Об єкти для інвестування",1,1,100
"Київ","Об єкти для інвестування",1,1,100
"Вінниця","Об єкти для інвестування",1,1,100
"Львів","Об єкти для інвестування",1,1,100
"Біла Церква","Об єкти для інвестування",1,1,100
"Одеса","Об єкти для інвестування",1,1,100
"Дружківка","Об єкти для інвестування",1,1,100
"Бердянськ","Об єкти для інвестування",1,1,100
"Серєродонецьк","Об єкти для інвестування",1,1,100
"Суми","Об єкти для інвестування",1,1,100
"Володимир Волинський","Об єкти для інвестування",1,1,100
"Рівне","Об єкти для інвестування",1,1,100
"Ізмаїл","Об єкти для інвестування",1,1,100
"Запоріжжя","Об єкти для інвестування",1,1,100
"Кам'янське","Об єкти для інвестування",0,1,0
"Дрогобич","Об єкти для інвестування",1,1,100
"Коростень","Об єкти для інвестування",1,1,100
"Тернопіль","Об єкти для інвестування",1,1,100
"Краматорськ","Об єкти для інвестування",1,1,100
"Коломия","Об єкти для інвестування",1,1,100
"Житомир","Об єкти для інвестування",0,1,0
"Калуш","Об єкти для інвестування",1,1,100
"Луцьк","Об єкти для інвестування",1,1,100
"Нікополь","Об єкти для інвестування",1,1,100
"Ужгород","Об єкти для інвестування",1,1,100
"Бахмут","Об єкти для інвестування",1,1,100
"Дніпро","Об єкти для інвестування",1,1,100
"Енергодар","Об єкти для інвестування",1,1,100
"Кропивницький","Об єкти для інвестування",1,1,100
"Чернігів","Об єкти для інвестування",1,1,100
"Ромни","Об єкти для інвестування",1,1,100
"Бориспіль","Об єкти для інвестування",1,1,100
"Миргород","Об єкти для інвестування",1,1,100
"Маріуполь","Об єкти для інвестування",1,1,100
"Первомайськ","Об єкти для інвестування",1,1,100
"Кам'янець-Подільський","Об єкти для інвестування",1,1,100
"Ковель","Об єкти для інвестування",1,1,100
"Олександрія","Об єкти для інвестування",1,1,100
"Ніжин","Об єкти для інвестування",1,1,100
"Лубни","Об єкти для інвестування",1,1,100
"Охтирка","Об єкти для інвестування",1,1,100
"Хмельницький","Об єкти для інвестування",1,1,100
"Бровари","Об єкти для інвестування",0,1,0
"Жмеринка","Об єкти для інвестування",1,1,100
"Миколаїв","Об єкти для інвестування",1,1,100
"Лисичанськ","Об єкти для інвестування",0,1,0
"Слов'янськ","Об єкти для інвестування",0,1,0
"Білгород Дністровський","Об єкти для інвестування",1,1,100
"Дубно","Об єкти для інвестування",1,1,100
"Мелітополь","Об єкти для інвестування",1,1,100
"Шепетівка","Об єкти для інвестування",1,1,100
"Чернівці","Об єкти для інвестування",1,1,100
"Херсон","Об єкти для інвестування",1,1,100
"Лиман","Об єкти для інвестування",1,1,100
"Лозова","Об єкти для інвестування",1,1,100
"Каховка","Об єкти для інвестування",1,1,100
"Мукачево","Об єкти для інвестування",0,1,0
"Кременчук","Об єкти для інвестування",0,1,0
"Южноукраїнськ","Об єкти для інвестування",1,1,100
"Покров","Об єкти для інвестування",1,1,100
"Рубіжне","Об єкти для інвестування",1,1,100
"Фастів","Об єкти для інвестування",1,1,100
"Сміла","Об єкти для інвестування",1,1,100
"Світловодськ","Об єкти для інвестування",0,1,0
"Нетішин","Об єкти для інвестування",1,1,100
"Подільськ","Об єкти для інвестування",0,1,0
"Горішні Плавні","Об єкти для інвестування",0,1,0
"Ірпінь","Об єкти для інвестування",0,1,0
"Червоноград","Об єкти для інвестування",1,1,100
"Чорноморськ","Об єкти для інвестування",0,1,0
"Харків","Об єкти для інвестування",1,1,100
"Бердичів","Об єкти для інвестування",1,1,100
"Славута","Об єкти для інвестування",1,1,100
"Старокостянтинів","Об єкти для інвестування",1,1,100
"Боярка","Об єкти для інвестування",1,1,100
"Костянтинівка","Об єкти для інвестування",0,1,0
"Жовті Води","Об єкти для інвестування",0,1,0
"Ізюм","Об єкти для інвестування",1,1,100
"Мирноград","Об єкти для інвестування",0,1,0
"Самбір","Об єкти для інвестування",1,1,100
"Новоград-Волинський","Об єкти для інвестування",1,1,100
"Конотоп","Об єкти для інвестування",0,1,0
"Павлоград","Об єкти для інвестування",1,1,100
"Шостка","Об єкти для інвестування",0,1,0
"Васильків","Об єкти для інвестування",0,1,0
"Вараш","Об єкти для інвестування",1,1,100
"Марганець","Об єкти для інвестування",0,1,0
"Полтава","Об єкти для інвестування",0,1,0
"Куп'янськ","Об єкти для інвестування",0,1,0
"Нова Каховка","Об єкти для інвестування",0,1,0
"Нововолинськ","Об єкти для інвестування",0,1,0
"Стрий","Об єкти для інвестування",1,1,100
"Вишневе","Об єкти для інвестування",0,1,0
"Кривий Ріг","Об єкти для інвестування",0,1,0
"Черкаси","Об єкти для інвестування",0,1,0
"Прилуки","Об єкти для інвестування",0,1,0
"Умань","Об єкти для інвестування",0,1,0
"Покровськ","Об єкти для інвестування",0,1,0
"Дунаївці","Об єкти для інвестування",0,1,0
"Новомосковськ","Об єкти для інвестування",0,1,0
"Івано-Франківськ","Підприємці у виконкомі",0,1,0
"Київ","Підприємці у виконкомі",1,1,100
"Вінниця","Підприємці у виконкомі",0,1,0
"Львів","Підприємці у виконкомі",0.25,1,25
"Біла Церква","Підприємці у виконкомі",0,1,0
"Одеса","Підприємці у виконкомі",0.5,1,50
"Дружківка","Підприємці у виконкомі",1,1,100
"Бердянськ","Підприємці у виконкомі",1,1,100
"Серєродонецьк","Підприємці у виконкомі",0.25,1,25
"Суми","Підприємці у виконкомі",0.25,1,25
"Володимир Волинський","Підприємці у виконкомі",1,1,100
"Рівне","Підприємці у виконкомі",0.25,1,25
"Ізмаїл","Підприємці у виконкомі",1,1,100
"Запоріжжя","Підприємці у виконкомі",1,1,100
"Кам'янське","Підприємці у виконкомі",0,1,0
"Дрогобич","Підприємці у виконкомі",1,1,100
"Коростень","Підприємці у виконкомі",0,1,0
"Тернопіль","Підприємці у виконкомі",0,1,0
"Краматорськ","Підприємці у виконкомі",0,1,0
"Коломия","Підприємці у виконкомі",0,1,0
"Житомир","Підприємці у виконкомі",0,1,0
"Калуш","Підприємці у виконкомі",0,1,0
"Луцьк","Підприємці у виконкомі",0,1,0
"Нікополь","Підприємці у виконкомі",0,1,0
"Ужгород","Підприємці у виконкомі",0.25,1,25
"Бахмут","Підприємці у виконкомі",0,1,0
